Timestamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13
2014-01-13 0:00,181.7,49.64,167.09,273.75,19.8,200.66,88.04,595.26,609.01,209.75,161.75,220.75,83.63
2014-01-13 1:00,172.71,32.83,151.32,242,20.17,160.21,83.86,595.26,1,189.5,135.5,202.5,85.75
2014-01-13 2:00,182.88,30.83,150.36,242.22,20.76,159.86,85.65,595.26,1,183.75,122.5,192.75,95.13
2014-01-13 3:00,195.52,30.9,146.67,238.05,19.41,157.54,85.46,595.26,1,170.5,121.5,183.75,93.38
2014-01-13 4:00,197.41,30.97,121.31,234.82,17.51,154.28,81.74,595.26,1,153,102.25,160.25,84.01
2014-01-13 5:00,208.1,30.83,112.4,233.56,17.02,152.75,81.68,595.26,1,146,100.25,151,70.13
2014-01-13 6:00,224.12,30.5,191.42,232.06,18.01,154.33,81.38,595.26,1,139.5,99,151.75,58.63
2014-01-13 7:00,226.63,37.94,280.7,261.26,18.42,162.78,138.65,595.26,1,143.75,104.5,157.25,61.75
2014-01-13 8:00,231.02,39.24,328.36,265.42,16.78,210.9,214.13,595.26,1,142,115.25,166,63.01
2014-01-13 9:00,289.32,40.81,344.39,294.12,20.82,274.54,235.87,595.26,1,135.5,126.5,160.75,62.25
2014-01-13 10:00,309.13,39.17,352.57,340.94,22.88,294.76,265.85,595.26,1,147.25,116.5,157.25,58.26
2014-01-13 11:00,330.71,39.8,352.43,369.2,24.79,311.31,275.75,595.26,1,147.5,120.5,157,59.75
2014-01-13 12:00,312.62,41.41,367.7,380.83,25.91,311.71,282.56,595.26,1,168.75,127.25,155.25,65.51
2014-01-13 13:00,300.82,39.55,380.15,390.76,26.01,312.9,280.28,595.26,1,161.75,115.75,147.5,67.26
2014-01-13 14:00,311.61,48.39,369.88,382.45,24.35,312.32,289.01,595.26,1,164.5,127.5,151.75,70.63
2014-01-13 15:00,324.22,47.58,361.28,391.37,26.7,313.95,294.32,595.26,1,189.75,132.5,178.75,72.01
2014-01-13 16:00,316.87,42.46,339.87,391.36,26.57,308.62,298.05,595.26,1,173.5,142,178.5,60
2014-01-13 17:00,287.6,41.94,337.72,381.76,25.36,301.13,284.5,595.26,1,175.25,137.25,163.5,74.88
2014-01-13 18:00,239.67,40.82,330.68,370.61,21.77,278.53,265.57,595.26,1,170.25,147,169,60.26
2014-01-13 19:00,225.82,51.88,333.04,348.1,22.96,297.46,269.46,595.26,1,179.5,154.25,193.25,59.88
2014-01-13 20:00,203.77,54.47,309.03,329.08,22.63,295.49,268.62,595.26,1,186.75,152.75,196.5,59.63
2014-01-13 21:00,215.04,54.86,276.83,329.89,22.8,281.88,257.63,595.26,1,196,147,214.5,60.63
2014-01-13 22:00,226.47,55.12,222.93,317.31,22.67,262.59,233.38,595.26,1,198,154.75,206,59.38
2014-01-13 23:00,221.67,55.73,191.49,303.46,22.48,216.38,169.95,595.26,1,193.25,151.5,208.25,60.26
2014-01-14 0:00,202.57,43.84,190.61,285.01,22.4,187.62,118.22,595.26,618.28,183.5,151,202.25,61.88
2014-01-14 1:00,188.55,37.54,162.29,238.06,22.08,169.32,86.86,595.26,1,174,137,191,62.63
2014-01-14 2:00,191.59,37.73,149.44,236.23,23.77,170.81,88.31,595.26,1,150.75,123.25,173,58.38
2014-01-14 3:00,190.4,32.49,152.64,235.69,21.9,167.34,87.34,595.26,1,134,117.75,134.75,37.25
2014-01-14 4:00,194.17,31.35,158.13,235.13,18.76,162.5,85.83,595.26,1,123.5,110,122,45.38
2014-01-14 5:00,248.61,30.8,141.75,233.55,18.58,161.15,84.84,595.26,1,119.75,107.5,118,39.38
2014-01-14 6:00,253.88,29.85,197.05,234.15,19.28,162.15,84.79,595.26,1,123.75,106.5,116.75,35.13
2014-01-14 7:00,242.74,37.42,296.91,254.5,19.39,172.13,146.31,595.26,1,120.25,111,122,37
2014-01-14 8:00,252.79,36.27,327.14,258.91,18.5,219.89,232.8,595.26,1,125.25,122,119.25,43.38
2014-01-14 9:00,326.17,49.49,335.65,287.18,19.94,271.07,251.15,595.26,1,121.25,117.5,123.25,35.13
2014-01-14 10:00,333.37,57.02,350.29,324.12,23.22,289.21,265.88,595.26,1,150.75,113.75,163.75,57.51
2014-01-14 11:00,313.84,58.08,354.51,358.83,24.48,300.33,280.23,595.26,1,154,120.25,161.5,56.25
2014-01-14 12:00,307.64,56.98,373.69,372.67,25.22,305.88,292.96,595.26,1,160.75,121.25,154.25,58.25
2014-01-14 13:00,308.01,46.44,377.28,375.23,26.91,305.97,299.84,595.26,1,165.5,119.5,151.25,72.25
2014-01-14 14:00,321.08,46.37,386.47,386.4,27.42,313.72,300.36,595.26,1,162.75,114.5,158,79
2014-01-14 15:00,318.09,44.05,359.4,380.09,27.64,315.17,306.99,595.26,1,168.25,126.25,166.5,73.25
2014-01-14 16:00,312.03,44.11,347.26,378.69,27.73,312.49,303,595.26,1,192,128,170.25,66.51
2014-01-14 17:00,293.98,46.93,335.79,379.37,26.32,303.48,283.57,595.26,1,177.25,128.75,179,64.63
2014-01-14 18:00,253.32,45.04,334.84,357.57,22.45,283.98,274.55,595.26,1,171.75,140,173.25,58.88
2014-01-14 19:00,235.24,56.24,331.91,353.03,23.51,303.07,274.25,595.26,1,179.75,151.25,186.25,57.63
2014-01-14 20:00,208.82,60.4,311.91,334.52,21.69,300.78,263.85,595.26,1,189,141.5,193.75,59.88
2014-01-14 21:00,219.2,57.34,282.26,325.97,21.32,290.62,249.58,595.26,1,200.25,156,195,58.38
2014-01-14 22:00,233.35,51.8,216.31,321.17,21.4,267.58,232.35,595.26,1,183.25,176.75,197.75,73.26
2014-01-14 23:00,234.12,48.84,193.16,311.81,21.76,219.54,182.75,595.26,1,168.75,170.5,180,56.13
2014-01-15 0:00,203.24,40.94,185.13,286.81,21.63,187.27,137.08,595.26,618.38,168,156.5,169,47.76
